"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
934980238622;;;;"Сливочное масло";"190 г. Масло «Сливочное» «Тысяча Озёр» несолёное";"Без ЗМЖ, 82,5 %, 185 г";"Цена указана за 185 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: ООО «Невские Сыры», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,5 г. <br />углеводы: 0,8 г. <br />кКал: 748<br /><br />Срок годности: 6 месяцев. Условия хранения: хранить при температуре от -18 °С до -14 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor6637-3838-4739-b362-626566373939/59376924.png;252.00;;;;;sjJY2jnMS7J5ifYtUBTi;;190;0;0;0
155136080642;;;;"Сливочное масло";"185 г. Масло «Традиционное» «Светаево» сладко-сливочное";"82,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (185 г.).<br /><br />Производитель: ЗАО «Озерецкий Молочный Комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,5 г. <br />углеводы: 0,8 г.<br />кКал: 750<br /><br />Срок годности: 3 месяца.<br />Условия хранения: хранить при температуре от 0 °С до 5 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor6138-3638-4537-a363-613734613036/98082679.png;243.60;;;;;UTYyUSu2f8No5cJUJzJK;;185;0;0;0
899562830552;;;;"Сливочное масло";"190 г. Масло «Крестьянское» «365 Дней» сладко-сливочное";"Высший сорт, без ЗМЖ, 72,5 % - 180 г";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: ЗАО «Озерецкий молочный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 1,0 г. <br />жир: 72,5 г. <br />углеводы: 1,4 г.<br />кКал: 662<br /><br />Срок годности: 35 суток.<br />Условия хранения: хранить при температуре 3 (2) °С и относительной влажности не более 90 %.<br /><br />Состав: Высокожирные пастеризованные сливки.";https://static.tildacdn.com/stor6235-3034-4662-b237-303330623061/79984534.png;137.50;;;;;yTOCYFJI2UFMcy95P4pX;;190;0;0;0
118876586822;;;;"Сливочное масло";"185 г. Масло «Традиционное» «Сыробогатов» сливочное";"Высший сорт, без ЗМЖ, 82,5 %, 175 г.";"Цена указана за 175 г. продукции.<br />Вес указан с упаковкой (185 г.).<br /><br />Производитель: ООО «Первая Линия», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,5 г. <br />углеводы: 0,8 г. <br />кКал: 748.<br /><br />Срок годности: 3 месяца. <br />Условия хранения: хранить при температуре от -2 °С до 4 °С и относительной влажности воздуха не более 75 %.<br /><br />Состав: Сливки пастеризованные.";https://static.tildacdn.com/stor6130-3963-4039-a633-616563636464/36161468.png;187.50;;;;;52cYSn7LjgALfAvVBiYl;;185;0;0;0
679006294352;;;;"Сливочное масло";"180 г. Масло «Шоколадное» «Экомилк» сливочное";"Без ЗМЖ, 62 %, 180 г";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (180 г.).<br /><br />Производитель: ЗАО «Озерецкий молочный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 1,2 г. <br />жир: 62,0 г. <br />углеводы: 19,6 г. <br />кКал: 641<br /><br />Срок годности: 4 месяца.<br />Условия хранения: хранить при температуре от -14 °С до -18 °С и относительной влажности воздуха не более 90%.<br /><br />Состав: Пастеризованные сливки, какао-порошок, сахар.";https://static.tildacdn.com/stor3662-6431-4333-b264-396635623064/38977096.png;189.00;;;;;GLNok45B2Up50UEX2Bfn;;180;0;0;0
341646244042;;;;"Сливочное масло";"370 г. Масло «President» кислосливочное, несолёное";"Высший сорт, 82 %, 360 г.";"Цена указана за 360 г. продукции.<br />Вес указан с упаковкой (370 г.).<br /><br />Производитель: СОАО «Ляховичский молочный завод», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,0 г. <br />углеводы: 0,3 г.<br />кКал: 742,0<br /><br />Срок годности: 4 месяца.<br />Условия хранения: хранить при температуре 4 (2) °C.<br /><br />Состав: Пастеризованные сливки, закваска.";https://static.tildacdn.com/stor6238-6439-4538-a239-663737366231/98258513.png;413.00;;;;;DFEi6gRv3bbo42PKZO9F;;370;0;0;0
663424861372;;;;"Сливочное масло";"190 г. Масло «Крестьянское» «ЭкоМилк» сливочное";"Высший сорт, без ЗМЖ, 72,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: ЗАО «Озерецкий молочный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 1,0 г. <br />жир: 72,5 г. <br />углеводы: 1,4 г.<br />кКал: 662<br /><br />Срок годности: 6 месяцев.<br />Условия хранения: хранить при температуре не выше -18 °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor6634-6634-4465-b134-303031386236/23197878.png;262.60;;;;;jhyy5x57yeANTpJ8cESd;;190;0;0;0
235413600162;;;;"Сливочное масло";"180 г. Масло «Традиционное» «Село Зелёное» сливочное";"Высший сорт, 82,5 %, 175 г.";"Цена указана за 175 г. продукции.<br />Вес указан с упаковкой (180 г.).<br /><br />Производитель: ОАО «Милком», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,8 г. <br />жир: 82,5 г. <br />углеводы: 0,6 г.<br />кКал: 748,0<br /><br />Срок годности: 60 суток.<br />Условия хранения: хранить при температуре от 1 °С до 5 °С и относительной влажности воздуха не более 90 %.<br /><br />Состав: Сливки пастеризованные.";https://static.tildacdn.com/stor3337-3033-4565-a365-366530336165/62472775.png;252.00;;;;;HXkNzpYcLNPvFZEfrUlL;;180;0;0;0
516419309212;;;;"Сливочное масло";"190 г. Масло «Традиционное» «Азбука Сыра» сливочное";"Без ЗМЖ, 82,5 %, 180 г.";"Цена указана за 180 г. продукции.<br />Вес указан с упаковкой (190 г.).<br /><br />Производитель: Филиал ООО «Азбука сыра» «Мамадышский завод», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,5 г. <br />углеводы: 0,8 г.<br />кКал: 748<br /><br />Срок годности: 4 месяца.<br />Условия хранения: хранить при температуре -16 (2) °C.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor6632-3137-4562-b261-643638643035/85097086.png;219.99;;;;;K0rGaZybaThnTIV7GFeK;;190;0;0;0
321041756672;;;;"Сливочное масло";"385 г. Масло «Традиционное» «ЭкоМилк» сливочное, несолёное";"Высший сорт, 82,5 %, 380 г.";"Цена указана за 380 г. продукции.<br />Вес указан с упаковкой (385 г.).<br /><br />Производитель: АО «Озерецкий молочный комбинат», Россия.<br /><br />Пищевая ценность на 100 г. продукта: <br />белок: 0,6 г. <br />жир: 82,5 г. <br />углеводы: 0,8 г.<br />кКал: 748,0<br /><br />Срок годности: 2 месяца.<br />Условия хранения: хранить при температуре 3 (2) °С и относительной влажности воздуха не более 90 %.<br /><br />Состав: Пастеризованные сливки.";https://static.tildacdn.com/stor6338-3663-4164-a636-656637353837/68300299.png;317.40;;;;;xZuFDo23iYvvcZkHDMdN;;385;0;0;0
